date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:15	99166/99166	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:15%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/chess	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/chess.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:15	104781/104781	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:15%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/chess/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/chess/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:15	99232/99232	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:15%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/missile-game	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/missile-game.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:16	105082/105082	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:16%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/missile-game/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/missile-game/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:16	99169/99169	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:16%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pool	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pool.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:17	105045/105045	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:16%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pool/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pool/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:17	99583/99583	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:17%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pac-man	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pac-man.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:17	104793/104793	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:17%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pac-man/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/pac-man/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:17	99204/99204	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:17%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/piano	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/piano.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:18	99219/99219	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:18%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/galaga	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/galaga.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:19	105083/105083	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:18%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/galaga/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/galaga/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:19	99154/99154	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:19%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/snake	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/snake.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
18:43:19	105025/105025	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2001:43:19%20GMT	https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/snake/ab-cloaked	C:/My%20Web%20Sites/Learning%20Site/sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/math-tests/games/snake/ab-cloaked.html	(from https://sites.google.com/view/4sg8t4sgegt128y4hg684gr3d86454/home)
